Timestamp,Steps,HeadingDeg,X,Y,StepLen,Source
1768292148309,105,-90,-12.423618765505433,7.28952640781254,0.66,SCS
1768292148612,106,-124,-12.897615124960435,6.967122898986912,0.57,SCS
1768292149124,107,180,-12.897615184023362,6.2915218002470805,0.68,SCS
1768292149444,108,180,-12.89761523604787,5.696430827048272,0.60,SCS
1768292149748,109,51,-12.368521036677166,6.117756378711701,0.68,SCS
1768292150197,110,0,-12.368521036677166,6.759488794185373,0.64,SCS
1768292150883,111,-90,-13.05081816049812,6.759488764361217,0.68,SCS
1768292151399,112,-40,-13.491335751743074,7.274734428365095,0.68,SCS
1768292152021,113,-90,-14.17039696155678,7.274734398682385,0.68,SCS
1768292152601,114,-44,-14.62668813753037,7.736708817258509,0.65,SCS
1768292153244,115,-90,-15.303767958867939,7.736708787662409,0.68,SCS
1768292153779,116,-44,-15.766458568181024,8.208901488614845,0.66,SCS
1768292154402,117,-90,-16.469420858423508,8.208901457887386,0.70,SCS
1768292154958,118,-49,-16.96527309933212,8.626976209554453,0.65,SCS
1768292155603,119,-90,-17.61882216963994,8.626976180986915,0.65,SCS
1768292156120,120,-46,-18.091215928932403,9.080292388653374,0.65,SCS
1768292156785,121,-90,-18.76450558967302,9.080292359222948,0.67,SCS
1768292157299,122,-42,-19.236129975414368,9.594297058651744,0.70,SCS
1768292157924,123,-90,-19.952623680326834,9.594297027332809,0.72,SCS
1768292158479,124,-49,-20.462020528997662,10.027510915964028,0.67,SCS
1768292159101,125,-90,-21.109719261198602,10.027510887652216,0.65,SCS
1768292159636,126,-49,-21.641589766845243,10.47508270967743,0.70,SCS
1768292160303,127,-90,-22.2941155867565,10.47508268115462,0.65,SCS
1768292160883,128,-47,-22.77150437876349,10.917754715716857,0.65,SCS
1768292161549,129,-90,-23.480877764286525,10.91775468470916,0.71,SCS
1768292162041,130,-25,-23.779700076396274,11.538592911769037,0.69,SCS
1768292162707,131,-31,-24.11309922857959,12.088613612413116,0.64,SCS
1768292163285,132,34,-23.728684965651368,12.647577979352587,0.68,SCS
1768292163908,133,0,-23.728684965651368,13.306422231020898,0.66,SCS
1768292164444,134,43,-23.27556821447705,13.792114694444873,0.66,SCS
1768292165045,135,0,-23.27556821447705,14.451055376408139,0.66,SCS
1768292165582,136,46,-22.78643543124532,14.914908279641454,0.67,SCS
1768292166226,137,0,-22.78643543124532,15.606022746373952,0.69,SCS
1768292166676,138,42,-22.312270695090323,16.12274456929359,0.70,SCS
1768292166976,139,28,-21.96142650813739,16.759593459174166,0.73,SCS
1768292167276,140,0,-21.96142650813739,17.450672957121803,0.69,SCS
1768292167920,141,65,-21.32022921977888,17.740626357975273,0.70,SCS
1768292168521,142,52,-20.765260743475572,18.173003533597843,0.70,SCS
1768292169078,143,113,-20.15086641824399,17.90399919783026,0.67,SCS
1768292169723,144,71,-19.510407367242856,18.11555485184824,0.67,SCS
1768292170259,145,131,-19.033130865101935,17.69740014104192,0.63,SCS
1768292170859,146,90,-18.412686856660223,17.69740011392145,0.62,SCS
1768292171419,147,143,-18.02851081369351,17.176013774895658,0.65,SCS
1768292172061,148,90,-17.370249258047775,17.17601374612213,0.66,SCS
1768292172640,149,133,-16.891842681993722,16.72757267265982,0.66,SCS
1768292173174,150,90,-16.261954524084143,16.727572645126536,0.63,SCS
1768292173735,151,139,-15.828905170211533,16.217854963588806,0.67,SCS
1768292174400,152,90,-15.188175739630266,16.21785493558163,0.64,SCS
1768292174936,153,137,-14.747851631817035,15.743924624581652,0.65,SCS
1768292175580,154,90,-14.071139358984476,15.743924595001618,0.68,SCS
1768292176117,155,137,-13.615984599754604,15.245172508429548,0.68,SCS
1768292176739,156,90,-12.94695697270406,15.24517247918542,0.67,SCS
1768292177234,157,136,-12.467070032687953,14.742917188336536,0.69,SCS
1768292177791,158,90,-11.736621321071572,14.742917156407607,0.73,SCS
1768292178435,159,133,-11.250333245847173,14.281557463463786,0.67,SCS
1768292179056,160,90,-10.589182460335707,14.281557434563966,0.66,SCS
1768292179593,161,133,-10.090203875522574,13.806927021212688,0.69,SCS
1768292180130,162,90,-9.367766450713116,13.806926989633945,0.72,SCS
1768292180711,163,139,-8.903636372959165,13.272834546019107,0.71,SCS
1768292181009,164,120,-8.305485908037618,12.923510040272323,0.69,SCS
1768292181396,165,90,-7.649925073390447,12.923510011616848,0.66,SCS
1768292181953,166,138,-7.194763447847851,12.401728904809534,0.69,SCS
1768292182468,167,70,-6.573168522562449,12.616816127042764,0.66,SCS
1768292183069,168,135,-6.111812195087434,12.153052976013493,0.65,SCS
1768292183670,169,90,-5.443407755626832,12.153052946796606,0.67,SCS
1768292184204,170,142,-5.00114247529438,11.571147527279573,0.73,SCS
1768292184806,171,123,-4.402205237662297,11.173138137310339,0.72,SCS
1768292185322,172,-180,-4.402205178885815,10.500813574668289,0.67,SCS
1768292185965,173,180,-4.402205236960365,9.836518190711555,0.66,SCS
1768292186588,174,-146,-4.761055831011307,9.296746516611176,0.65,SCS
1768292187145,175,180,-4.76105589087721,8.611960432835282,0.68,SCS
1768292187747,176,-149,-5.099578572885594,8.044663689924016,0.66,SCS
1768292188327,177,180,-5.099578631117853,7.378564313832431,0.67,SCS
1768292188842,178,-137,-5.550616927702608,6.8859280038189095,0.67,SCS
1768292189463,179,180,-5.550616985905225,6.220167695330683,0.67,SCS
1768292189999,180,-148,-5.900618985737586,5.6515170960718635,0.67,SCS
1768292190622,181,-159,-6.13380940853779,5.017121340306706,0.68,SCS
1768292191180,182,-107,-6.803037426542436,4.80413767996692,0.70,SCS
1768292191802,183,-121,-7.389623196756338,4.444996019911686,0.69,SCS
1768292192468,184,-66,-7.9919467421601,4.709949472790607,0.66,SCS
1768292193024,185,-90,-8.635803442345043,4.709949444646735,0.64,SCS
1768292193648,186,-43,-9.101683454774795,5.203244293222449,0.68,SCS
1768292194203,187,-90,-9.769283943031144,5.203244264040704,0.67,SCS
1768292194828,188,-47,-10.265509485990773,5.659016248885292,0.67,SCS
1768292195426,189,-90,-10.914702890446911,5.659016220508146,0.65,SCS
1768292195985,190,-47,-11.413098523451666,6.119752279822086,0.68,SCS
1768292196587,191,-90,-12.071720847684906,6.119752251032788,0.66,SCS
1768292197146,192,-41,-12.526763667558656,6.6317385676680844,0.68,SCS
1768292197681,193,-90,-13.192039645856056,6.631738538587947,0.67,SCS
1768292198324,194,-46,-13.653721841787727,7.072288899314113,0.64,SCS
1768292198840,195,-107,-14.291670590655942,6.873971802963339,0.67,SCS
1768292199463,196,-46,-14.769494248844754,7.333827937684517,0.66,SCS
1768292200063,197,-90,-15.407675738761547,7.333827909788717,0.64,SCS
1768292200623,198,-48,-15.92861531088799,7.800495707219812,0.70,SCS
1768292201114,199,-90,-16.63102048900646,7.8004956765167055,0.70,SCS
1768292201714,200,-46,-17.138657282964743,8.277410297077065,0.70,SCS
1768292202316,201,-90,-17.820738633720595,8.277410267262342,0.68,SCS
1768292202853,202,-48,-18.349042378410964,8.743136922295728,0.70,SCS
1768292203453,203,-90,-19.019376531395686,8.74313689299449,0.67,SCS
1768292204010,204,-47,-19.53543615322471,9.213497133479938,0.70,SCS
1768292204591,205,-90,-20.18416145570344,9.213497105123254,0.65,SCS
1768292205148,206,-49,-20.704115529778747,9.655425408218717,0.68,SCS
1768292205728,207,-90,-21.380069698218847,9.65542537867182,0.68,SCS
1768292206242,208,-52,-21.927452549815936,10.074986168333677,0.69,SCS
1768292206844,209,-90,-22.61133312782181,10.074986138440305,0.68,SCS
1768292207379,210,-38,-23.047932096454645,10.624784167601744,0.70,SCS
1768292207959,211,-60,-23.652550286694574,10.973100581772812,0.70,SCS
1768292208581,212,25,-23.342958067849803,11.613922413584994,0.71,SCS
1768292209183,213,0,-23.342958067849803,12.341251109891088,0.73,SCS
1768292209698,214,42,-22.88260652546129,12.847000286947122,0.68,SCS
1768292210277,215,0,-22.88260652546129,13.566497243065452,0.72,SCS
1768292210792,216,49,-22.35213756951794,14.026519528844783,0.70,SCS
1768292211329,217,-21,-22.61541007797436,14.687004919069466,0.71,SCS
1768292211929,218,46,-22.13230340955069,15.145597579752014,0.67,SCS
1768292212531,219,0,-22.13230340955069,15.812079364437222,0.67,SCS
1768292213088,220,55,-21.557102082159698,16.212411449333693,0.70,SCS
1768292213734,221,19,-21.3215199069443,16.8768103526511,0.70,SCS
1768292214246,222,90,-20.63814199097068,16.8768103227797,0.68,SCS
1768292214868,223,90,-19.917973505206383,16.876810291300135,0.72,SCS
1768292215385,224,127,-19.354318345351363,16.43746169980331,0.71,SCS
1768292216005,225,90,-18.67151213218291,16.437461669956903,0.68,SCS
1768292216585,226,140,-18.253818293322006,15.927646404226307,0.66,SCS
1768292217164,227,68,-17.60100782227723,16.189630358386413,0.70,SCS
1768292217765,228,133,-17.113813330835995,15.735172131076933,0.67,SCS
1768292218344,229,90,-16.457095944899596,15.735172102370903,0.66,SCS
1768292218924,230,134,-15.954050756630007,15.247451524707186,0.70,SCS
1768292219544,231,90,-15.269508272887357,15.247451494784883,0.68,SCS
1768292220039,232,131,-14.747416477205146,14.791417896692739,0.69,SCS
1768292220704,233,90,-14.026356965859367,14.791417865174225,0.72,SCS
1768292221241,234,124,-13.4791581139794,14.417273785931359,0.66,SCS
1768292221927,235,69,-12.86880593699008,14.644169591362076,0.65,SCS
1768292222421,236,124,-12.332450493254374,14.278348502737652,0.65,SCS
1768292223108,237,90,-11.697028732106654,14.278348474962483,0.64,SCS
1768292223666,238,135,-11.208977078620313,13.787157103942855,0.69,SCS
1768292224201,239,90,-10.55945672991502,13.787157075551418,0.65,SCS
1768292224738,240,147,-10.208333077806824,13.22747549835685,0.66,SCS
1768292225403,241,90,-9.55305924984157,13.22747546971392,0.66,SCS
1768292225833,242,138,-9.079308441599574,12.687462724368087,0.72,SCS
1768292226134,243,116,-8.451485294796042,12.372955430005893,0.70,SCS
1768292226476,244,90,-7.808282024452303,12.372955401890584,0.64,SCS
1768292226993,245,133,-7.3355746002372175,11.924067127426014,0.65,SCS
1768292227314,246,112,-6.736789026838674,11.681878372419742,0.65,SCS
1768292227678,247,90,-6.08131590563161,11.681878343768101,0.66,SCS
1768292228260,248,140,-5.6366626639668045,11.13711267074419,0.70,SCS
1768292228899,249,90,-4.980796540049212,11.137112642075369,0.66,SCS
1768292229415,250,141,-4.5491920227826,10.591190559971572,0.70,SCS
1768292229953,251,90,-3.8594746968582174,10.59119052982307,0.69,SCS
1768292230574,252,151,-3.5168137873084917,9.966923640255745,0.71,SCS
1768292231197,253,151,-3.197259927492371,9.37310543938559,0.67,SCS
1768292231902,254,-145,-3.567021861867657,8.842774137146096,0.65,SCS
1768292232420,255,180,-3.567021918222744,8.198147103670191,0.64,SCS
1768292233064,256,-138,-3.9812561809629985,7.731203209571439,0.62,SCS
1768292233707,257,180,-3.9812562413128156,7.040881797487392,0.69,SCS
1768292234265,258,-141,-4.402891548212503,6.511547236320049,0.68,SCS
1768292234909,259,180,-4.402891606665778,5.842919728251791,0.67,SCS
1768292235510,260,-141,-4.827893461935006,5.309152951195776,0.68,SCS
1768292236024,261,180,-4.827893521148009,4.631835180428441,0.68,SCS
1768292236668,262,-130,-5.329863343970562,4.197274314294679,0.66,SCS
1768292237248,263,-146,-5.718896351305325,3.5996036282905224,0.71,SCS
1768292237870,264,-90,-6.426392120429688,3.599603597364899,0.71,SCS
1768292238493,265,-90,-7.102289354469258,3.599603567820491,0.68,SCS
1768292239071,266,-48,-7.601552112060733,4.047130835213635,0.67,SCS
1768292239372,267,-70,-8.174357770078958,4.250870465197032,0.61,SCS
