Timestamp,Type,Val1,Val2,Val3,Val4,Val5,Val6,Val7
1768361212807,SWING,24.736404,21.301336,-0.88108903,0.5048107,-0.033284537,-0.8625881,SWINGING
1768361212857,RAW,8.49707,8.126953,-0.11816406,,,,
1768361212918,RAW,9.87207,9.501953,0.0068359375,,,,
1768361212976,RAW,9.24707,10.001953,0.0068359375,,,,
1768361213040,RAW,9.87207,8.626953,0.0068359375,,,,
1768361213047,SWING,7.853789,18.978868,2.2915654,0.11473942,0.18888272,0.97527325,SWINGING
1768361213096,RAW,8.87207,10.626953,-0.24316406,,,,
1768361213161,RAW,10.87207,8.876953,0.13183594,,,,
1768361213216,RAW,9.99707,9.126953,0.0068359375,,,,
1768361213279,RAW,10.87207,10.251953,0.0068359375,,,,
1768361213293,SWING,8.817743,16.857626,2.288643,0.1054269,0.15836434,0.9817362,SWINGING
1768361213338,RAW,9.99707,10.001953,0.13183594,,,,
1768361213394,RAW,10.24707,8.751953,0.38183594,,,,
1768361213457,RAW,9.62207,8.751953,0.38183594,,,,
1768361213520,RAW,10.49707,8.626953,0.50683594,,,,
1768361213531,SWING,8.287341,14.239878,2.286586,0.10754687,0.14502865,0.98356515,SWINGING
1768361213576,RAW,10.12207,8.376953,0.63183594,,,,
1768361213668,RAW,9.49707,7.001953,0.50683594,,,,
1768361213728,RAW,9.62207,11.876953,0.13183594,,,,
1768361213742,SWING,8.85965,11.710985,2.2893257,0.13377658,0.14480211,0.98037547,SWINGING
1768361213786,RAW,10.12207,6.751953,0.0068359375,,,,
1768361213846,RAW,9.87207,10.376953,0.50683594,,,,
1768361213905,RAW,11.12207,7.626953,1.0068359,,,,
1768361213967,RAW,10.24707,6.626953,0.75683594,,,,
1768361213971,SWING,7.372424,8.23819,2.2825637,0.18058835,0.1296085,0.9749817,SWINGING
1768361214025,RAW,11.24707,7.876953,0.50683594,,,,
1768361214087,RAW,10.87207,7.376953,0.25683594,,,,
1768361214147,RAW,11.24707,6.626953,0.0068359375,,,,
1768361214208,RAW,10.99707,8.501953,-0.36816406,,,,
1768361214216,SWING,7.5455694,8.176546,2.2710338,0.17231986,0.12698337,0.97682196,SWINGING
1768361214271,RAW,11.24707,7.001953,0.0068359375,,,,
1768361214329,RAW,11.12207,8.626953,-0.61816406,,,,
1768361214390,RAW,10.87207,6.751953,-0.11816406,,,,
1768361214452,RAW,10.74707,10.001953,-0.99316406,,,,
1768361214465,SWING,7.762497,7.965496,2.261134,0.2042489,0.1694381,0.9641437,SWINGING
1768361214510,RAW,10.12207,7.626953,0.0068359375,,,,
1768361214567,RAW,11.12207,9.751953,-0.61816406,,,,
